#t[s] v[m/s]
0.000000 0.290200
0.009250 0.291573
0.018500 0.292945
0.027750 0.294318
0.037000 0.311735
0.046250 0.337844
0.055500 0.363953
0.064750 0.395154
0.074000 0.438390
0.083250 0.481627
0.092500 0.524863
0.101750 0.552801
0.111000 0.579865
0.120250 0.606928
0.129500 0.630513
0.138750 0.651727
0.148000 0.672940
0.157250 0.687958
0.166500 0.691539
0.175750 0.695119
0.185000 0.698700
0.194250 0.702340
0.203500 0.705981
0.212750 0.709621
0.222000 0.714752
0.231250 0.720690
0.240500 0.726627
0.249750 0.731011
0.259000 0.731720
0.268250 0.732429
0.277500 0.732977
0.286750 0.730710
0.296000 0.728442
0.305250 0.726174
0.314500 0.717071
0.323750 0.705076
0.333000 0.693081
0.342250 0.676829
0.351500 0.652719
0.360750 0.628610
0.370000 0.604500
0.379250 0.577305
0.388500 0.550110
0.397750 0.522915
0.407000 0.512077
0.416250 0.506498
0.425500 0.500918
0.434750 0.497261
0.444000 0.496426
0.453250 0.495590
0.462500 0.494344
0.471750 0.485899
0.481000 0.477455
0.490250 0.469010
0.499500 0.461698
0.508750 0.454865
0.518000 0.448032
0.527250 0.441325
0.536500 0.434850
0.545750 0.428375
0.555000 0.422032
0.564250 0.416781
0.573500 0.411529
0.582750 0.406277
0.592000 0.401139
0.601250 0.396036
0.610500 0.390934
0.619750 0.385989
0.629000 0.381274
0.638250 0.376560
0.647500 0.371927
0.656750 0.368720
0.666000 0.365513
0.675250 0.362307
0.684500 0.358047
0.693750 0.353541
0.703000 0.349035
0.712250 0.345613
0.721500 0.343465
0.730750 0.341316
0.740000 0.339284
0.749250 0.338210
0.758500 0.337135
0.767750 0.336061
0.777000 0.333303
0.786250 0.330004
0.795500 0.326705
0.804750 0.323844
0.814000 0.321397
0.823250 0.318950
0.832500 0.316716
0.841750 0.315582
0.851000 0.314448
0.860250 0.313315
0.869500 0.310705
0.878750 0.307751
0.888000 0.304797
0.897250 0.301473
0.906500 0.297716
0.915750 0.293958
0.925000 0.290200
